	Classificação Spider	Statement SQL gerado automaticamente	Statement SQL gerado pelo humano (corrigido?)	Id	Id	Acerto/errou	wh-question	Com asterisco = errada		Consulta em português	Consulta em inglês	Statement em SQL gerado pelo humano	Consulta em português no domínio de declaração de viagem internacional	Consulta em inglês no domínio de declaração de viagem internacional	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional	Revisado_1	Pré-classificação conceitual	Comentário
1	easy	SELECT Count(*) FROM log2 WHERE log2.idcase = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed'	2667	2667			*Original	original	Quantas atividades fechadas temos?	How many closed activities do we have?	SELECT count(*) FROM log1 WHERE activity="Closed"	Quantas atividades 'fim da viagem' temos?	How many activities 'end trip' do we have?	SELECT count(*) FROM events_log WHERE activity = 'End trip'	S	eventos	
	easy							*Apenas corrigindo a consulta do humano	corrigida	Quantas atividades 'closed' temos?	How many activities 'closed' do we have?	SELECT count(idevent) FROM log1 WHERE activity="Closed"	 	 				
	easy							* Escrevendo de maneira impessoal	paráfrase	Quantas atividades 'closed' existem no log de eventos?	How many activities 'closed' are there in the event log?	 	 	 				
	easy							Possibilidades corretas no contexto de mineração de processos	paráfrase	Quantas vezes a atividade 'closed' foi executada?	How many times did activity 'closed' run?		 	 				
	easy							(aspas ajudam o tradutor)	paráfrase	Quantas ocorrências da atividade 'closed' existem no log de eventos?	How many occurrences of activity 'closed' are there in the event log?	 	 	 				
	easy							(estou pensando em marcar um enunciado que seria o mais próximo de ser feito por um ser humano leigo em mineração de processos)	paráfrase	Quantas vezes a atividade 'closed' ocorreu?	How many times did activity 'closed' occur?		 	 				
	easy								paráfrase	Quantos eventos relacionados à atividade 'closed' existem no log de eventos?	How many events related to activity 'closed' are there in the event log?	 	 	 				
	easy								paráfrase	Quantas vezes a atividade nomeada 'closed' for executada?	How many times does the activity named 'closed' run?		 	 				
	easy								paráfrase	Informe o número de vezes que a atividade 'closed' foi executada.	Report the number of times activity 'closed' was executed.		 	 				
	easy								paráfrase	Informe o número de ocorrências da atividade 'closed'.	Report the number of occurrences of activity 'closed'		 	 				
	easy								paráfrase	Informe o número de ocorrências da atividade nomeada 'closed'.	Report the number of occurrences of the activity named 'closed'.		 	 				
																		
2	medium	SELECT Count(log1.activity) FROM log1 WHERE log1.resource = 'terminal' AND log1.resource = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed' GROUP BY resource HAVING resource = 'Updated by 27'	2668	2668			*Original	original	Temos quantas atividades que foram atualizadas pelo recurso 27 e que estão fechadas?	How many activities do we have that were updated by the resource 27 and that its closed?	SELECT count(*) FROM log1 WHERE activity="Closed" HAVING resource="Updated by 27"	Temos quantas atividades que foram atualizadas por James e que são 'fim da viagem'?	How many activities do we have that were updated by James that are 'end trip'?	SELECT count(*) FROM events_log WHERE activity = 'End trip' AND resource = 'James'	S	eventos	
	medium							*Apenas corrigindo a consulta do humano	corrigida	Temos quantas atividades que foram atualizadas pelo recurso 27 e que estão 'closed'?	How many activities do we have that were updated by the resource 27 that are 'closed'?	SELECT count(*) FROM log1 WHERE activity="Closed" AND resource="Updated by 27"	 	 				
	medium							* Escrevendo de maneira impessoal	paráfrase	Quantas atividades foram atualizadas pelo recurso 27 e estão 'closed'?	How many activities were updated by the resource 27 and are 'closed'?	(o having na consulta original do aluno está correto? Funciona?)	 	 				
	medium							Possibilidades corretas no contexto de mineração de processos	paráfrase	Quantas execuções da atividade 'closed' foram executadas pelo recurso 27?	How many executions of activity 'closed' has resource 27 performed?	 	 	 				
