1.0	easy	SELECT Count(*) FROM log2 WHERE log2.idcase = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed'	2667	2667	nan	nan	*Original	original	Quantas atividades fechadas temos?	How many closed activities do we have?	"SELECT count(*) FROM log1 WHERE activity=""Closed"""	Quantas atividades 'fim da viagem' temos?	How many activities 'end trip' do we have?	SELECT count(*) FROM events_log WHERE activity = 'End trip'	S	eventos	nan
2.0	medium	SELECT Count(log1.activity) FROM log1 WHERE log1.resource = 'terminal' AND log1.resource = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed' GROUP BY resource HAVING resource = 'Updated by 27'	2668	2668	nan	nan	*Original	original	Temos quantas atividades que foram atualizadas pelo recurso 27 e que estão fechadas?	How many activities do we have that were updated by the resource 27 and that its closed?	"SELECT count(*) FROM log1 WHERE activity=""Closed"" HAVING resource=""Updated by 27"""	Temos quantas atividades que foram atualizadas por James e que são 'fim da viagem'?	How many activities do we have that were updated by James that are 'end trip'?	SELECT count(*) FROM events_log WHERE activity = 'End trip' AND resource = 'James'	S	eventos	nan
3.0	medium	SELECT Count(*), log5.resource FROM log5 GROUP BY log5.resource	SELECT COUNT(idevent), resource FROM log6 GROUP BY resource	2669	2669	nan	nan	*Original (usa um verbo que não faz muito sentido)	original	"Mostre a quantidade de eventos que cada ""resource"" possui"	Show the number of events each resource has	SELECT COUNT(idevent), resource FROM Gerenciamento de problemas - abertos VOLVO GROUP BY resource;	 	 	SELECT resource,COUNT(*) FROM events_log GROUP BY resource	S	recurso	nan
4.0	easy	SELECT Count(*) FROM log2 WHERE log2.idevent = 'terminal'	SELECT COUNT(idevent) FROM log6 WHERE resource = 'Peter'	2670	2670	nan	nan	Original	original	"Mostre a quantidade de eventos que tiveram Peter como ""resource""."	"Show the amount of events that have had Peter as ""resource""."	"SELECT COUNT(idevent) FROM Gerenciamento de problemas - abertos VOLVO WHERE resource = ""Peter"""	 	nan	SELECT count(*) FROM events_log WHERE resource = 'Peter'	S	recurso	nan
5.0	medium	SELECT log2.idcase FROM log5 WHERE log1.enddatetime = 'terminal'	SELECT DISTINCT idcase, enddatetime FROM log1 WHERE enddatetime BETWEEN '2016-03-01' AND '2016-03-31'	2671	2671	nan	nan	Original	original	Mostre todos os casos que terminaram em março de 2016.	Show all cases that ended in March 2016	SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE enddatetime LIKE '2016-03%'	 	nan	nan	N	casos	Para a declaração em SQL, precisa determinar o que será considerado encerrado. Neste caso, adotarei a última atividade do caso e verifiquei se a data está em março de 2016
6.0	hard	SELECT log1.idcase FROM log1 EXCEPT SELECT log1.idcase FROM log1 WHERE log1.resource = 'terminal'	SELECT DISTINCT idcase FROM log1 WHERE activity = 'New' EXCEPT SELECT idcase FROM log1 WHERE resource = 'Updated by 804'	2672	2672	nan	nan	Original	nan	"Mostre os casos que foram abertos, exceto aqueles que foram abertos pelo ""resource"" 804"	"Show cases that have been opened, except those that have been opened by ""resource"" 804"	"SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE activity = ""New"" EXCEPT SELECT idcase FROM Gerenciamento de incidentes WHERE resource = ""Updated by 804"""	"Mostre todos os casos que passaram pela atividade ""declaração rejeitada pelo pré-aprovador"", exceto aqueles em que a atividade foi executada pelo recurso Douglas."	"Show all cases that passed through the activity ""declaration rejected by pre-approver"", except those where the activity was performed by ""resource"" Douglas."	"SELECT DISTINCT idcase FROM events_log WHERE activity = ""Declaration rejected by pre-approver"" AND resource != ""Douglas"""	S	casos	nan
7.0	easy	SELECT Count(DISTINCT log1.resource) FROM log1	SELECT COUNT(DISTINCT resource) FROM log5	2673	2673	nan	nan	Original	nan	Quantos recursos diferentes existem no log?	How many different resources are there in the log?	SELECT COUNT(DISTINCT resource) AS n_resources FROM volvo	 	nan	SELECT COUNT(DISTINCT resource) FROM events_log	S	recurso	nan
8.0	medium	SELECT Sum(*) FROM log1	SELECT resource, COUNT(resource) FROM log5 GROUP BY resource	2674	2674	nan	nan	Original	nan	Qual é o total de eventos relacionado a cada recurso?	What is the total of events related to each feature?	SELECT resource, COUNT(resource) AS n_events_by_resource FROM volvo GROUP BY resource	 	nan	SELECT COUNT(*), resource FROM events_log GROUP BY resource	S	recurso	Repetido 2669, no entanto inverti o resultado do select para adequar ao enunciado
9.0	medium	SELECT log2.idcase, log2.idevent FROM log2 WHERE log2.costevent > 'terminal'	SELECT idcase, idevent FROM log2 WHERE costevent > 10	2675	2675	nan	nan	*Original (precisamos colocar um valor, senão a consulta fica incompleta)	nan	Quais são os idcase e idevent em que o custo são maiores que um determinado valor?	What are the idcase and idevent where the cost is greater than a certain value?	SELECT ALL idcase, idevent FROM justica WHERE costevent > value;	Quais são os casos associados a eventos que possuem um custo maior que 30?	What are the cases associated with events that have a cost greater than 30?	SELECT DISTINCT idcase FROM events_log WHERE cost > 30	P	casos	Adotei o enunciado que consulta somente o caso, para mim parece fazer mais sentido. Reexecutar o SQL quando ajustar os custos no log de eventos.
10.0	extra	SELECT log1.resource FROM log1 GROUP BY log1.resource ORDER BY Count(*) Desc LIMIT 1	SELECT resource, COUNT(resource) FROM log2 GROUP BY resource ORDER BY COUNT(resource) DESC	2676	2676	nan	nan	Original	nan	Quais foram os recursos que tiveram mais eventos relacionados?	What were the resources that had the most events?	SELECT resource, COUNT(resource) as n_events FROM justica GROUP BY resource ORDER BY n_events DESC;	Qual recurso foi responsável pela execução de mais eventos?	Which resource was responsible for executing the highest number of events?	SELECT resource FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC LIMIT 1	S	recurso	Utilizei a pergunta em singular que consulta o recurso que executou a maior quantidade de eventos. No entanto, tem muitos eventos com valor 'Undefined' que podemos filtrar diferentes desse valor 'Undefined'.
11.0	?	nan	nan	nan	nan	nan	nan	nova consulta	corrigida	Qual recurso está relacionado a mais eventos e a quantos eventos ele está relacionado?	What resource were related to the highest number of events, and how many events is they related to?	precisa resolver essa consulta pegando o top ou o max do count	nan	nan	SELECT resource, COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC LIMIT 1	S	recurso	Tem muitos eventos com valor 'Undefined' que podemos filtrar diferentes desse valor 'Undefined'.
